"path","lines","sha256","review_status","review_method","billing_relevant","collections_or_tables","rpcs_called_or_defined","app_state_disposition","direct_test_evidence"
".env.example","13","6f6ae279361c9799d63fcefc48d7ab051452c24c5ceab94dd11b8927d071e07f","reviewed","semantic-hotspot-plus-mechanical-screen","yes","","","none",""
".github/workflows/ci.yml","25","be3720f956a37f737e8cb75f054c1010a58104861504227f805d7093366feb38","reviewed","semantic-hotspot-plus-mechanical-screen","yes","","","none",""
".gitignore","24","8a6b7538cd109542843d501752166c8ab7fa6e4e312236f82d5b5c6671675b45","reviewed","semantic-hotspot-plus-mechanical-screen","no","","","documentation-or-test-reference",""
".prettierrc","7","690d82ccabc8eec614a2a15acbfefcb408fdb39b615d40be03a17000d482355d","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"architect.md","611","cedc1532836bd5ce73683edce90b7d919378d375838cb33faea8ffd949913a4e","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; business_profile; stations; pricing_rules; sessions; session_pause_logs; customer_tabs; customers; inventory_items; stock_movements; bills; payments; audit_logs; expenses","","documentation-or-test-reference",""
"deploymentrules.md","284","cef260bbe00165089d64a95811c22bac271699572689517ccdc7d67078036f09","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; business_profile; stations; pricing_rules; sessions; customers; inventory_items; bills; payments","","documentation-or-test-reference",""
"eslint.config.js","28","506155430d07dea68f04ee29ae5a2ffe4b7fd3147c35c0c71a876cb56157b222","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"index.html","13","2b6120b140b6eec7995e000e08b06fd95953300b88a1f3d13c21ccd20694fecb","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/changes/archive/2026-04-20-recurring-monthly-expenses/.openspec.yaml","2","404baa9cab0e9a0338ad95f86872d8ee077ce8e3a46eb15779c8a7b0e4574a82","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/changes/archive/2026-04-20-recurring-monthly-expenses/design.md","103","904b602812b01217c4f2092d0a42824bf27830a9870b3576cd4e6c746d203f68","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; expenses","","none",""
"openspec/changes/archive/2026-04-20-recurring-monthly-expenses/proposal.md","29","962e2d54c6f8ff9a8582a9a859314b24b612213f78ccc8d9037c7737b3394169","reviewed","mechanical-full-text-risk-screen","no","users/profiles; expenses","","none",""
"openspec/changes/archive/2026-04-20-recurring-monthly-expenses/specs/expense-backfill-prompt/spec.md","32","305d16d22cb44b5e390e1355bea69808d3238ba57da7eb3fc7b8997cdfc8577f","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/changes/archive/2026-04-20-recurring-monthly-expenses/specs/expense-month-list-view/spec.md","59","ce2ad73665f803bda0385c662dcf898c5e997a21a395a91c63bce7802d5a2196","reviewed","mechanical-full-text-risk-screen","no","users/profiles","","none",""
"openspec/changes/archive/2026-04-20-recurring-monthly-expenses/specs/expense-template-overrides/spec.md","51","93dcf9d92777d3b4c49c991c27ec1370df4477c088312c42f7453eb6ad76c4b2","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/changes/archive/2026-04-20-recurring-monthly-expenses/tasks.md","46","5d044846f917da9db33efb5fd226ad07b51f132144249e84c1060522eadc2518","reviewed","mechanical-full-text-risk-screen","no","expenses","","none",""
"openspec/changes/archive/2026-04-25-inventory-icons-revenue-sorting-permissions/.openspec.yaml","2","8aa390ae88355dae82ae6005e8feeb816867f4589761c39f18f69e22ca269e59","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/changes/archive/2026-04-25-inventory-icons-revenue-sorting-permissions/design.md","88","915bf350dd53caee639222f1064f23b6584dcbf5c8c63d06df1df4acab023e33","reviewed","semantic-hotspot-plus-mechanical-screen","yes","stations; sessions; bills","","none",""
